ministry_a,ministry_b,shared_mps
HEALTH AND FAMILY WELFARE,RAILWAYS,558
AGRICULTURE AND FARMERS WELFARE,HEALTH AND FAMILY WELFARE,556
EDUCATION,HEALTH AND FAMILY WELFARE,553
EDUCATION,RAILWAYS,540
AGRICULTURE AND FARMERS WELFARE,RAILWAYS,539
HEALTH AND FAMILY WELFARE,ROAD TRANSPORT AND HIGHWAYS,534
HEALTH AND FAMILY WELFARE,JAL SHAKTI,528
AGRICULTURE AND FARMERS WELFARE,EDUCATION,527
RAILWAYS,ROAD TRANSPORT AND HIGHWAYS,519
AGRICULTURE AND FARMERS WELFARE,JAL SHAKTI,517
CIVIL AVIATION,HEALTH AND FAMILY WELFARE,516
JAL SHAKTI,RAILWAYS,515
AGRICULTURE AND FARMERS WELFARE,ROAD TRANSPORT AND HIGHWAYS,512
EDUCATION,ROAD TRANSPORT AND HIGHWAYS,512
EDUCATION,JAL SHAKTI,508
CIVIL AVIATION,RAILWAYS,501
"ENVIRONMENT, FOREST AND CLIMATE CHANGE",HEALTH AND FAMILY WELFARE,496
CIVIL AVIATION,EDUCATION,495
HEALTH AND FAMILY WELFARE,HOUSING AND URBAN AFFAIRS,495
AGRICULTURE AND FARMERS WELFARE,CIVIL AVIATION,494
FINANCE,HEALTH AND FAMILY WELFARE,494
JAL SHAKTI,ROAD TRANSPORT AND HIGHWAYS,486
FINANCE,RAILWAYS,484
"ENVIRONMENT, FOREST AND CLIMATE CHANGE",RAILWAYS,483
AGRICULTURE AND FARMERS WELFARE,FINANCE,481
HEALTH AND FAMILY WELFARE,RURAL DEVELOPMENT,479
AGRICULTURE AND FARMERS WELFARE,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",477
EDUCATION,FINANCE,476
AGRICULTURE AND FARMERS WELFARE,HOUSING AND URBAN AFFAIRS,476
HEALTH AND FAMILY WELFARE,LABOUR AND EMPLOYMENT,475
EDUCATION,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",472
EDUCATION,HOUSING AND URBAN AFFAIRS,472
HOUSING AND URBAN AFFAIRS,RAILWAYS,469
CIVIL AVIATION,ROAD TRANSPORT AND HIGHWAYS,468
"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",HEALTH AND FAMILY WELFARE,468
AGRICULTURE AND FARMERS WELFARE,RURAL DEVELOPMENT,467
CIVIL AVIATION,JAL SHAKTI,467
LABOUR AND EMPLOYMENT,RAILWAYS,466
RAILWAYS,RURAL DEVELOPMENT,464
AGRICULTURE AND FARMERS WELFARE,LABOUR AND EMPLOYMENT,462
FINANCE,ROAD TRANSPORT AND HIGHWAYS,461
HEALTH AND FAMILY WELFARE,WOMEN AND CHILD DEVELOPMENT,460
"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",RAILWAYS,459
"ENVIRONMENT, FOREST AND CLIMATE CHANGE",ROAD TRANSPORT AND HIGHWAYS,459
FINANCE,JAL SHAKTI,458
EDUCATION,RURAL DEVELOPMENT,457
AGRICULTURE AND FARMERS WELFARE,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",456
EDUCATION,LABOUR AND EMPLOYMENT,455
"ENVIRONMENT, FOREST AND CLIMATE CHANGE",JAL SHAKTI,454
RAILWAYS,WOMEN AND CHILD DEVELOPMENT,454
CHEMICALS AND FERTILIZERS,HEALTH AND FAMILY WELFARE,453
COMMERCE AND INDUSTRY,HEALTH AND FAMILY WELFARE,453
HOUSING AND URBAN AFFAIRS,JAL SHAKTI,453
HOUSING AND URBAN AFFAIRS,ROAD TRANSPORT AND HIGHWAYS,451
"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",EDUCATION,450
CIVIL AVIATION,FINANCE,449
AGRICULTURE AND FARMERS WELFARE,WOMEN AND CHILD DEVELOPMENT,448
JAL SHAKTI,RURAL DEVELOPMENT,445
EDUCATION,WOMEN AND CHILD DEVELOPMENT,444
LABOUR AND EMPLOYMENT,ROAD TRANSPORT AND HIGHWAYS,443
ROAD TRANSPORT AND HIGHWAYS,RURAL DEVELOPMENT,443
HEALTH AND FAMILY WELFARE,TOURISM,441
COMMERCE AND INDUSTRY,RAILWAYS,440
AGRICULTURE AND FARMERS WELFARE,COMMERCE AND INDUSTRY,439
CIVIL AVIATION,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",439
CIVIL AVIATION,HOUSING AND URBAN AFFAIRS,439
RAILWAYS,TOURISM,438
FINANCE,HOUSING AND URBAN AFFAIRS,438
JAL SHAKTI,LABOUR AND EMPLOYMENT,437
AGRICULTURE AND FARMERS WELFARE,CHEMICALS AND FERTILIZERS,435
"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",JAL SHAKTI,434
CHEMICALS AND FERTILIZERS,EDUCATION,433
CHEMICALS AND FERTILIZERS,RAILWAYS,432
"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",ROAD TRANSPORT AND HIGHWAYS,432
CIVIL AVIATION,LABOUR AND EMPLOYMENT,430
COMMERCE AND INDUSTRY,EDUCATION,430
"ENVIRONMENT, FOREST AND CLIMATE CHANGE",FINANCE,430
ROAD TRANSPORT AND HIGHWAYS,WOMEN AND CHILD DEVELOPMENT,430
HEALTH AND FAMILY WELFARE,"MICRO, SMALL AND MEDIUM ENTERPRISES",427
CIVIL AVIATION,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",426
CIVIL AVIATION,RURAL DEVELOPMENT,426
JAL SHAKTI,WOMEN AND CHILD DEVELOPMENT,426
