mp_a,party_a,mp_b,party_b,joint_questions
Shri Dhairyasheel Sambhajirao Mane,SS,Shri Sudheer Gupta,BJP,207
Prof. Varsha Eknath Gaikwad,INC,Smt. Supriya Sule,NCP(SP),206
Prof. Varsha Eknath Gaikwad,INC,Shri Sanjay Dina Patil,SS,205
Shri Shrirang Appa Chandu Barne,SS,Smt. Bharti Pardhi,BJP,204
Prof. Varsha Eknath Gaikwad,INC,Shri Mohite Patil Dhairyasheel Rajsinh,NCP(SP),200
Dr. Amol Ramsing Kolhe,NCP(SP),Prof. Varsha Eknath Gaikwad,INC,199
Prof. Varsha Eknath Gaikwad,INC,Shri Bhaskar Murlidhar Bhagare,NCP(SP),193
Shri Sanjay Dina Patil,SS,Smt. Supriya Sule,NCP(SP),181
Shri Mohite Patil Dhairyasheel Rajsinh,NCP(SP),Shri Sanjay Dina Patil,SS,179
Dr. Amol Ramsing Kolhe,NCP(SP),Shri Sanjay Dina Patil,SS,178
Shri Bhaskar Murlidhar Bhagare,NCP(SP),Shri Sanjay Dina Patil,SS,178
Shri Bhumare Sandipanrao Asaram,SS,Shri Gyaneshwar Patil,BJP,164
Shri C N Annadurai,DMK,Shri Navaskani K,IUML,151
Shri Chavan Ravindra Vasantrao,INC,Shri Sudheer Gupta,BJP,148
Dr. Shivaji Bandappa Kalge,INC,Shri Bhumare Sandipanrao Asaram,SS,142
Shri Chavan Ravindra Vasantrao,INC,Shri Dhairyasheel Sambhajirao Mane,SS,141
Shri Navaskani K,IUML,Shri Selvam G,DMK,139
Shri Bhumare Sandipanrao Asaram,SS,Smt. Delkar Kalaben Mohanbhai,BJP,127
Dr. Shivaji Bandappa Kalge,INC,Shri Gyaneshwar Patil,BJP,123
Dr. Shivaji Bandappa Kalge,INC,Shri Nilesh Dnyandev Lanke,NCP(SP),118
Prof. Varsha Eknath Gaikwad,INC,Shri Nilesh Dnyandev Lanke,NCP(SP),116
Shri Nilesh Dnyandev Lanke,NCP(SP),Shri Sanjay Dina Patil,SS,114
Shri Bhumare Sandipanrao Asaram,SS,Shri Nilesh Dnyandev Lanke,NCP(SP),105
Shri Naresh Ganpat Mhaske,SS,Smt. Shambhavi,LJSP(RV),104
Shri Ravindra Dattaram Waikar,SS,Smt. Bharti Pardhi,BJP,97
Dr. Shrikant Eknath Shinde,SS,Smt. Shambhavi,LJSP(RV),97
Shri Naresh Ganpat Mhaske,SS,Smt. Bharti Pardhi,BJP,94
Prof. Varsha Eknath Gaikwad,INC,Shri Bajrang Manohar Sonwane,NCP(SP),94
Shri Bajrang Manohar Sonwane,NCP(SP),Shri Sanjay Dina Patil,SS,93
Dr. Shrikant Eknath Shinde,SS,Smt. Bharti Pardhi,BJP,92
Dr. Shivaji Bandappa Kalge,INC,Smt. Delkar Kalaben Mohanbhai,BJP,90
Shri Gyaneshwar Patil,BJP,Shri Nilesh Dnyandev Lanke,NCP(SP),88
Dr. Shrikant Eknath Shinde,SS,Shri Rajesh Verma,LJSP(RV),84
Shri Naresh Ganpat Mhaske,SS,Shri Rajesh Verma,LJSP(RV),84
Shri Ravindra Dattaram Waikar,SS,Smt. Shambhavi,LJSP(RV),79
Dr. Lata Wankhede,BJP,Smt. Shambhavi,LJSP(RV),77
Shri Chamala Kiran Kumar Reddy,INC,Shri Eatala Rajender,BJP,75
Shri Arvind Ganpat Sawant,SHS(UBT),Shri Shrirang Appa Chandu Barne,SS,70
Shri Nilesh Dnyandev Lanke,NCP(SP),Smt. Delkar Kalaben Mohanbhai,BJP,67
Dr. Lata Wankhede,BJP,Shri Rajesh Verma,LJSP(RV),65
Shri Rajesh Verma,LJSP(RV),Shri Ravindra Dattaram Waikar,SS,65
