node,type,label,pagerank
party:BJP,party,BJP,0.120267
party:INC,party,INC,0.05864
party:DMK,party,DMK,0.023484
ministry:HEALTH AND FAMILY WELFARE,ministry,HEALTH AND FAMILY WELFARE,0.019673
party:AITC,party,AITC,0.016509
party:SP,party,SP,0.016256
party:TDP,party,TDP,0.016227
ministry:RAILWAYS,ministry,RAILWAYS,0.015784
ministry:EDUCATION,ministry,EDUCATION,0.015589
ministry:AGRICULTURE AND FARMERS WELFARE,ministry,AGRICULTURE AND FARMERS WELFARE,0.014809
ministry:FINANCE,ministry,FINANCE,0.012433
ministry:ROAD TRANSPORT AND HIGHWAYS,ministry,ROAD TRANSPORT AND HIGHWAYS,0.011701
ministry:CIVIL AVIATION,ministry,CIVIL AVIATION,0.011561
ministry:JAL SHAKTI,ministry,JAL SHAKTI,0.011363
"ministry:ENVIRONMENT, FOREST AND CLIMATE CHANGE",ministry,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",0.010781
party:YSRCP,party,YSRCP,0.009978
ministry:HOUSING AND URBAN AFFAIRS,ministry,HOUSING AND URBAN AFFAIRS,0.009972
party:TMC(M),party,TMC(M),0.009035
party:BJD,party,BJD,0.009026
ministry:LABOUR AND EMPLOYMENT,ministry,LABOUR AND EMPLOYMENT,0.008974
party:SS,party,SS,0.008835
party:CPI(M),party,CPI(M),0.008634
party:IND.,party,IND.,0.008625
ministry:RURAL DEVELOPMENT,ministry,RURAL DEVELOPMENT,0.007991
ministry:COMMERCE AND INDUSTRY,ministry,COMMERCE AND INDUSTRY,0.007923
party:JD(U),party,JD(U),0.007553
"ministry:CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",ministry,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",0.007552
ministry:WOMEN AND CHILD DEVELOPMENT,ministry,WOMEN AND CHILD DEVELOPMENT,0.007412
ministry:EXTERNAL AFFAIRS,ministry,EXTERNAL AFFAIRS,0.006912
ministry:CHEMICALS AND FERTILIZERS,ministry,CHEMICALS AND FERTILIZERS,0.006876
party:AAP,party,AAP,0.006658
ministry:PETROLEUM AND NATURAL GAS,ministry,PETROLEUM AND NATURAL GAS,0.00657
party:AIADMK,party,AIADMK,0.006496
ministry:AYUSH,ministry,AYUSH,0.006301
ministry:COMMUNICATIONS,ministry,COMMUNICATIONS,0.006248
"ministry:MICRO, SMALL AND MEDIUM ENTERPRISES",ministry,"MICRO, SMALL AND MEDIUM ENTERPRISES",0.006149
party:NCP(SP),party,NCP(SP),0.00606
party:SHS(UBT),party,SHS(UBT),0.00602
ministry:SOCIAL JUSTICE AND EMPOWERMENT,ministry,SOCIAL JUSTICE AND EMPOWERMENT,0.006008
ministry:TOURISM,ministry,TOURISM,0.005977
ministry:CULTURE,ministry,CULTURE,0.005888
ministry:ELECTRONICS AND INFORMATION TECHNOLOGY,ministry,ELECTRONICS AND INFORMATION TECHNOLOGY,0.005846
ministry:HOME AFFAIRS,ministry,HOME AFFAIRS,0.005721
ministry:YOUTH AFFAIRS AND SPORTS,ministry,YOUTH AFFAIRS AND SPORTS,0.005659
party:IUML,party,IUML,0.005605
"ministry:FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",ministry,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",0.005572
topic:tamil nadu,topic,tamil nadu,0.005527
ministry:NEW AND RENEWABLE ENERGY,ministry,NEW AND RENEWABLE ENERGY,0.00545
party:AJSU,party,AJSU,0.005184
ministry:LAW AND JUSTICE,ministry,LAW AND JUSTICE,0.005068
party:RJD,party,RJD,0.005048
ministry:POWER,ministry,POWER,0.005
ministry:TRIBAL AFFAIRS,ministry,TRIBAL AFFAIRS,0.004949
party:CPI,party,CPI,0.004899
ministry:SKILL DEVELOPMENT AND ENTREPRENEURSHIP,ministry,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,0.004844
party:KC(M),party,KC(M),0.004704
party:SAD,party,SAD,0.004648
party:ZPM,party,ZPM,0.004596
party:UPPL,party,UPPL,0.004563
party:MNF,party,MNF,0.004516
party:NOM.,party,NOM.,0.004433
party:PMK,party,PMK,0.004293
party:BAP,party,BAP,0.004261
"ministry:PORTS, SHIPPING AND WATERWAYS",ministry,"PORTS, SHIPPING AND WATERWAYS",0.004173
ministry:FOOD PROCESSING INDUSTRIES,ministry,FOOD PROCESSING INDUSTRIES,0.004169
party:RLP,party,RLP,0.004133
ministry:CORPORATE AFFAIRS,ministry,CORPORATE AFFAIRS,0.004131
party:J&KNC,party,J&KNC,0.004073
party:JSP,party,JSP,0.004065
party:NCP,party,NCP,0.003952
ministry:TEXTILES,ministry,TEXTILES,0.00392
topic:andhra pradesh,topic,andhra pradesh,0.003883
ministry:COAL,ministry,COAL,0.003872
ministry:COOPERATION,ministry,COOPERATION,0.00382
party:JD(S),party,JD(S),0.003766
party:LJSP(RV),party,LJSP(RV),0.003749
party:RSP,party,RSP,0.003707
party:CPI(ML)(L),party,CPI(ML)(L),0.003685
party:ASP (KR),party,ASP (KR),0.003514
party:BRS,party,BRS,0.003474
party:DMDK,party,DMDK,0.003414
party:AGP,party,AGP,0.003405
party:SKM,party,SKM,0.003337
ministry:MINORITY AFFAIRS,ministry,MINORITY AFFAIRS,0.003288
party:MNM,party,MNM,0.003282
ministry:PANCHAYATI RAJ,ministry,PANCHAYATI RAJ,0.003246
party:MDMK,party,MDMK,0.003188
party:JMM,party,JMM,0.003172
ministry:INFORMATION AND BROADCASTING,ministry,INFORMATION AND BROADCASTING,0.003068
party:VCK,party,VCK,0.002969
party:AIMIM,party,AIMIM,0.002883
