community,party,questions,community_size
0,AITC,2544,18
0,SP,2331,18
0,CPI(M),1102,18
0,IUML,682,18
0,RJD,537,18
0,CPI,412,18
0,LJSP(RV),276,18
0,CPI(ML)(L),200,18
0,JMM,192,18
0,RLP,145,18
0,BAP,138,18
0,AIMIM,114,18
0,J&KNC,89,18
0,SAD,87,18
0,ASP (KR),85,18
0,AJSU,63,18
0,RLM,35,18
0,PMK,33,18
1,Unknown,142,4
1,UPPL,119,4
1,AGP,61,4
1,SKM,44,4
2,BJP,22881,23
2,INC,11184,23
2,DMK,3537,23
2,TDP,2178,23
2,YSRCP,1271,23
2,SS,1132,23
2,BJD,1019,23
2,JD(U),1018,23
2,IND.,971,23
2,AAP,790,23
2,NCP(SP),704,23
2,AIADMK,697,23
2,SHS(UBT),686,23
2,NOM.,285,23
2,JSP,222,23
2,VCK,215,23
2,NCP,205,23
2,MDMK,150,23
2,KC(M),135,23
2,RLD,117,23
2,RSP,108,23
2,KEC,53,23
2,JD(S),30,23
3,BRS,296,1
