party,ministry,questions,ministry_total,party_total,lift
BRS,PRIME MINISTER,1,1,296,200.611
MNF,DEVELOPMENT OF NORTH EASTERN REGION,1,176,8,42.174
TMC(M),INFORMATION AND BROADCASTING,1,465,4,31.925
UPPL,DEVELOPMENT OF NORTH EASTERN REGION,8,176,119,22.682
MNM,PLANNING,1,235,12,21.057
MNM,SPACE,1,238,12,20.792
ZPM,PLANNING,1,235,16,15.793
TMC(M),ELECTRONICS AND INFORMATION TECHNOLOGY,1,971,4,15.289
TMC(M),EXTERNAL AFFAIRS,1,1026,4,14.469
ASP (KR),"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",6,305,85,13.743
MNM,HEAVY INDUSTRIES,1,406,12,12.188
MNM,ATOMIC ENERGY,1,437,12,11.324
AGP,DEVELOPMENT OF NORTH EASTERN REGION,2,176,61,11.062
J&KNC,DEFENCE,3,186,89,10.761
TMC(M),"ENVIRONMENT, FOREST AND CLIMATE CHANGE",1,1809,4,8.206
ZPM,RURAL DEVELOPMENT,3,1389,16,8.016
AIMIM,PARLIAMENTARY AFFAIRS,1,67,114,7.774
SKM,DEVELOPMENT OF NORTH EASTERN REGION,1,176,44,7.668
RLD,PARLIAMENTARY AFFAIRS,1,67,117,7.575
BAP,TRIBAL AFFAIRS,14,796,138,7.568
MNF,EXTERNAL AFFAIRS,1,1026,8,7.235
AJSU,COAL,5,661,63,7.13
Unknown,DEVELOPMENT OF NORTH EASTERN REGION,3,176,142,7.128
JD(S),COMMUNICATIONS,4,1120,30,7.069
PMK,EXTERNAL AFFAIRS,4,1026,33,7.015
MDMK,HEAVY INDUSTRIES,7,406,150,6.825
MNM,CORPORATE AFFAIRS,1,737,12,6.714
MNF,PETROLEUM AND NATURAL GAS,1,1138,8,6.523
MNM,"PORTS, SHIPPING AND WATERWAYS",1,769,12,6.435
J&KNC,POWER,8,830,89,6.431
SKM,EARTH SCIENCES,2,425,44,6.351
KC(M),EARTH SCIENCES,6,425,135,6.21
MNM,POWER,1,830,12,5.962
KEC,COMMERCE AND INDUSTRY,7,1356,53,5.784
RLP,MINES,6,429,145,5.728
NOM.,CULTURE,29,1069,285,5.652
MNM,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,1,882,12,5.61
ZPM,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",2,1332,16,5.573
MNF,COMMERCE AND INDUSTRY,1,1356,8,5.474
PMK,COAL,2,661,33,5.445
RLM,STATISTICS AND PROGRAMME IMPLEMENTATION,1,314,35,5.403
DMDK,WOMEN AND CHILD DEVELOPMENT,3,1271,26,5.391
PMK,STEEL,1,334,33,5.387
JD(S),AYUSH,3,1138,30,5.218
KEC,SCIENCE AND TECHNOLOGY,2,430,53,5.211
AGP,ELECTRONICS AND INFORMATION TECHNOLOGY,5,971,61,5.013
AIMIM,STATISTICS AND PROGRAMME IMPLEMENTATION,3,314,114,4.977
RLM,YOUTH AFFAIRS AND SPORTS,3,1024,35,4.971
ZPM,FINANCE,3,2253,16,4.942
MNM,ROAD TRANSPORT AND HIGHWAYS,2,2061,12,4.802
AJSU,TRIBAL AFFAIRS,4,796,63,4.736
JMM,TRIBAL AFFAIRS,12,796,192,4.662
ZPM,TRIBAL AFFAIRS,1,796,16,4.662
JMM,STEEL,5,334,192,4.63
LJSP(RV),DEFENCE,4,186,276,4.627
BAP,DEFENCE,2,186,138,4.627
JD(S),MINES,1,429,30,4.614
SAD,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",9,1332,87,4.612
Unknown,DEFENCE,2,186,142,4.497
ZPM,POWER,1,830,16,4.471
AJSU,MINES,2,429,63,4.394
PMK,CHEMICALS AND FERTILIZERS,3,1235,33,4.371
KC(M),EXTERNAL AFFAIRS,10,1026,135,4.287
JD(S),RURAL DEVELOPMENT,3,1389,30,4.275
J&KNC,ROAD TRANSPORT AND HIGHWAYS,13,2061,89,4.208
VCK,PARLIAMENTARY AFFAIRS,1,67,215,4.122
MNF,HOUSING AND URBAN AFFAIRS,1,1823,8,4.072
AGP,RAILWAYS,12,2900,61,4.028
UPPL,NEW AND RENEWABLE ENERGY,8,995,119,4.012
AJSU,PLANNING,1,235,63,4.011
RLM,EARTH SCIENCES,1,425,35,3.992
SAD,EXTERNAL AFFAIRS,6,1026,87,3.991
PMK,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",4,1809,33,3.979
AIMIM,MINORITY AFFAIRS,4,535,114,3.894
ASP (KR),LAW AND JUSTICE,5,911,85,3.834
J&KNC,SOCIAL JUSTICE AND EMPOWERMENT,6,1048,89,3.82
DMDK,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",3,1809,26,3.788
JD(S),LABOUR AND EMPLOYMENT,3,1570,30,3.782
SKM,TOURISM,3,1076,44,3.763
CPI,PLANNING,6,235,412,3.68
AGP,TRIBAL AFFAIRS,3,796,61,3.669
AGP,COMMERCE AND INDUSTRY,5,1356,61,3.589
AJSU,MINORITY AFFAIRS,2,535,63,3.524
MNF,CIVIL AVIATION,1,2129,8,3.486
VCK,SPACE,3,238,215,3.481
AIMIM,HOME AFFAIRS,7,1051,114,3.469
JD(S),PANCHAYATI RAJ,1,573,30,3.454
DMDK,JAL SHAKTI,3,1997,26,3.431
IUML,MINORITY AFFAIRS,21,535,682,3.418
SAD,JAL SHAKTI,10,1997,87,3.418
AJSU,POWER,3,830,63,3.407
SKM,TRIBAL AFFAIRS,2,796,44,3.391
PMK,CULTURE,2,1069,33,3.367
NOM.,DEFENCE,3,186,285,3.361
ASP (KR),SOCIAL JUSTICE AND EMPOWERMENT,5,1048,85,3.333
RLD,CULTURE,7,1069,117,3.323
ZPM,COMMUNICATIONS,1,1120,16,3.314
ZPM,PETROLEUM AND NATURAL GAS,1,1138,16,3.261
RLM,MINORITY AFFAIRS,1,535,35,3.171
JSP,EARTH SCIENCES,5,425,222,3.147
SKM,SCIENCE AND TECHNOLOGY,1,430,44,3.139
RLD,AYUSH,7,1138,117,3.122
RLM,EDUCATION,5,2802,35,3.027
JSP,TRIBAL AFFAIRS,9,796,222,3.024
KC(M),"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",7,1021,135,3.016
KEC,FINANCE,6,2253,53,2.984
RLM,AYUSH,2,1138,35,2.982
MDMK,CULTURE,8,1069,150,2.963
KC(M),HOME AFFAIRS,7,1051,135,2.93
Unknown,MINES,3,429,142,2.924
RJD,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",8,305,537,2.9
CPI(ML)(L),STATISTICS AND PROGRAMME IMPLEMENTATION,3,314,200,2.837
BAP,LAW AND JUSTICE,6,911,138,2.834
BAP,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",2,305,138,2.822
AJSU,STEEL,1,334,63,2.822
BJD,AYUSH,55,1138,1019,2.816
RSP,LABOUR AND EMPLOYMENT,8,1570,108,2.802
AIMIM,DEFENCE,1,186,114,2.8
Unknown,SOCIAL JUSTICE AND EMPOWERMENT,7,1048,142,2.793
YSRCP,ATOMIC ENERGY,26,437,1271,2.78
SKM,ELECTRONICS AND INFORMATION TECHNOLOGY,2,971,44,2.78
CPI(ML)(L),MINORITY AFFAIRS,5,535,200,2.775
AJSU,YOUTH AFFAIRS AND SPORTS,3,1024,63,2.761
CPI,STATISTICS AND PROGRAMME IMPLEMENTATION,6,314,412,2.754
MDMK,RAILWAYS,20,2900,150,2.73
CPI(M),MINORITY AFFAIRS,27,535,1102,2.719
Unknown,FOOD PROCESSING INDUSTRIES,5,770,142,2.715
AGP,TOURISM,3,1076,61,2.714
PMK,JAL SHAKTI,3,1997,33,2.703
RSP,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",5,1021,108,2.693
JD(S),CORPORATE AFFAIRS,1,737,30,2.686
RLM,WOMEN AND CHILD DEVELOPMENT,2,1271,35,2.67
RSP,ROAD TRANSPORT AND HIGHWAYS,10,2061,108,2.668
RLD,PANCHAYATI RAJ,3,573,117,2.657
MNF,EDUCATION,1,2802,8,2.649
VCK,STATISTICS AND PROGRAMME IMPLEMENTATION,3,314,215,2.639
SKM,YOUTH AFFAIRS AND SPORTS,2,1024,44,2.636
NCP,NEW AND RENEWABLE ENERGY,9,995,205,2.62
ASP (KR),MINORITY AFFAIRS,2,535,85,2.612
RLP,STATISTICS AND PROGRAMME IMPLEMENTATION,2,314,145,2.608
J&KNC,EXTERNAL AFFAIRS,4,1026,89,2.601
TDP,"PORTS, SHIPPING AND WATERWAYS",73,769,2178,2.588
JD(S),FOOD PROCESSING INDUSTRIES,1,770,30,2.571
AGP,PETROLEUM AND NATURAL GAS,3,1138,61,2.566
SAD,MINORITY AFFAIRS,2,535,87,2.552
CPI(ML)(L),SOCIAL JUSTICE AND EMPOWERMENT,9,1048,200,2.55
KEC,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,2,882,53,2.541
SKM,CULTURE,2,1069,44,2.525
SKM,MINORITY AFFAIRS,1,535,44,2.523
UPPL,TRIBAL AFFAIRS,4,796,119,2.508
RLD,HEAVY INDUSTRIES,2,406,117,2.5
NCP,TEXTILES,6,699,205,2.486
CPI,LABOUR AND EMPLOYMENT,27,1570,412,2.479
MNM,JAL SHAKTI,1,1997,12,2.478
NCP,PLANNING,2,235,205,2.465
JMM,RURAL DEVELOPMENT,11,1389,192,2.449
JSP,ATOMIC ENERGY,4,437,222,2.448
AIMIM,MINES,2,429,114,2.428
VCK,PETROLEUM AND NATURAL GAS,10,1138,215,2.427
JSP,STEEL,3,334,222,2.403
RLM,CIVIL AVIATION,3,2129,35,2.391
JD(S),POWER,1,830,30,2.385
NOM.,AYUSH,13,1138,285,2.38
UPPL,HOME AFFAIRS,5,1051,119,2.374
VCK,SOCIAL JUSTICE AND EMPOWERMENT,9,1048,215,2.372
BAP,WOMEN AND CHILD DEVELOPMENT,7,1271,138,2.37
BJD,LAW AND JUSTICE,37,911,1019,2.367
RLP,FINANCE,13,2253,145,2.363
RSP,TEXTILES,3,699,108,2.36
Unknown,MINORITY AFFAIRS,3,535,142,2.345
JMM,COAL,5,661,192,2.339
IND.,ELECTRONICS AND INFORMATION TECHNOLOGY,37,971,971,2.33
TDP,PLANNING,20,235,2178,2.32
IND.,SPACE,9,238,971,2.313
RSP,SPACE,1,238,108,2.31
SAD,HEALTH AND FAMILY WELFARE,12,3550,87,2.307
ASP (KR),HOUSING AND URBAN AFFAIRS,6,1823,85,2.299
BJD,COAL,26,661,1019,2.292
JSP,PLANNING,2,235,222,2.276
KC(M),COMMERCE AND INDUSTRY,7,1356,135,2.271
PMK,TRIBAL AFFAIRS,1,796,33,2.261
NCP,"PORTS, SHIPPING AND WATERWAYS",6,769,205,2.26
CPI,EXTERNAL AFFAIRS,16,1026,412,2.248
IUML,INFORMATION AND BROADCASTING,12,465,682,2.247
CPI(ML)(L),TRIBAL AFFAIRS,6,796,200,2.238
SKM,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",3,1809,44,2.238
ASP (KR),STATISTICS AND PROGRAMME IMPLEMENTATION,1,314,85,2.225
DMDK,ROAD TRANSPORT AND HIGHWAYS,2,2061,26,2.216
AGP,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,2,882,61,2.207
RLP,DEFENCE,1,186,145,2.202
ASP (KR),WOMEN AND CHILD DEVELOPMENT,4,1271,85,2.199
RSP,FINANCE,9,2253,108,2.196
JMM,WOMEN AND CHILD DEVELOPMENT,9,1271,192,2.19
BJD,MINORITY AFFAIRS,20,535,1019,2.178
JMM,MINES,3,429,192,2.163
YSRCP,SPACE,11,238,1271,2.159
AGP,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",4,1809,61,2.152
AIMIM,ELECTRONICS AND INFORMATION TECHNOLOGY,4,971,114,2.146
KEC,SOCIAL JUSTICE AND EMPOWERMENT,2,1048,53,2.138
