chamber,ques_no,session_no,date,type,ministry,subject,member,all_members,party,party_full,state,question_text,answer_text,answer_pdf_url
Lok Sabha,360,8,12.08.2026,STARRED,ATOMIC ENERGY,Nuclear Power Generation under Atomic Energy Programme,Dr. Prabha Mallikarjun,Dr. Prabha Mallikarjun,INC,Indian National Congress,Karnataka,,,
Lok Sabha,359,8,12.08.2026,STARRED,MINES,Rare Earth Elements (REE) Exploration in West Bengal,Shri Jyotirmay Singh Mahato,Shri Jyotirmay Singh Mahato,BJP,Bharatiya Janata Party,West Bengal,,,
Lok Sabha,358,8,12.08.2026,STARRED,RAILWAYS,Review of Capacity Enhancement on Mangaluru Rail Corridors,Shri Captain Brijesh Chowta,Shri Captain Brijesh Chowta,BJP,Bharatiya Janata Party,Karnataka,,,
Lok Sabha,357,8,12.08.2026,STARRED,RAILWAYS,Railway Schools in Telangana,Shri Vamsi Krishna Gaddam,Shri Vamsi Krishna Gaddam,INC,Indian National Congress,Telangana,,,
Lok Sabha,356,8,12.08.2026,STARRED,NEW AND RENEWABLE ENERGY,Roadmap to Accelerate Adoption of Renewable Energy Projects,Smt. Supriya Sule,Smt. Supriya Sule; Shri Mohite Patil Dhairyasheel Rajsinh,NCP(SP),Nationalist Congress Party - Sharadchandra Pawar,Maharashtra,,,
Lok Sabha,355,8,12.08.2026,STARRED,RAILWAYS,Railway Projects for Ongole-Guntur Section in Andhra Pradesh,Shri Magunta Sreenivasulu Reddy,Shri Magunta Sreenivasulu Reddy,TDP,Telugu Desam Party,Andhra Pradesh,,,
Lok Sabha,354,8,12.08.2026,STARRED,NEW AND RENEWABLE ENERGY,Expanding Domestic Manufacturing Capacity of Solar PV Modules,Shri Damodar Agrawal,Shri Damodar Agrawal; Shri Anil Firojiya,BJP,Bharatiya Janata Party,Rajasthan,,,
Lok Sabha,353,8,12.08.2026,STARRED,EARTH SCIENCES,Strengthening Multi-Hazard Early Warning Systems,Shri Yogender Chandolia,Shri Yogender Chandolia; Shri Bibhu Prasad Tarai,BJP,Bharatiya Janata Party,Delhi,,,
Lok Sabha,352,8,12.08.2026,STARRED,NEW AND RENEWABLE ENERGY,Impact of ALCM Notification on Solar Energy Projects,Shri  Selvaganapathi T.M.,Shri  Selvaganapathi T.M.,DMK,Dravida Munnetra Kazhagam,Tamil Nadu,,,
Lok Sabha,351,8,12.08.2026,STARRED,STATISTICS AND PROGRAMME IMPLEMENTATION,Comprehensive Review of Statistical System,Shri Kanwar Singh Tanwar,Shri Kanwar Singh Tanwar,BJP,Bharatiya Janata Party,Uttar Pradesh,,,
Lok Sabha,350,8,12.08.2026,STARRED,RAILWAYS,Stoppages of Express Trains at Koilakuntla and Panyam Railway Stations,Dr. Byreddy Shabari,Dr. Byreddy Shabari,TDP,Telugu Desam Party,Andhra Pradesh,,,
Lok Sabha,349,8,12.08.2026,STARRED,MINORITY AFFAIRS,Technical and Operational Difficulties in UMEED Portal,Shri E T Mohammed Basheer,Shri E T Mohammed Basheer,IUML,Indian Union Muslim League ,Kerala,,,
Lok Sabha,348,8,12.08.2026,STARRED,NEW AND RENEWABLE ENERGY,Assessment of Progress of PM-SGMBY and PM-KUSUM,Shri Tariq Anwar,Shri Tariq Anwar,INC,Indian National Congress,Bihar,,,
Lok Sabha,347,8,12.08.2026,STARRED,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Implementation of National Food Security Act,Dr. K Sudhakar,Dr. K Sudhakar; Shri Anurag Singh Thakur,BJP,Bharatiya Janata Party,Karnataka,,,
Lok Sabha,346,8,12.08.2026,STARRED,RAILWAYS,ABSS for Mayiladuthurai Railway Station,Km. Sudha R,Km. Sudha R,INC,Indian National Congress,Tamil Nadu,,,
Lok Sabha,345,8,12.08.2026,STARRED,RAILWAYS,"Non-operational Lifts, Escalators and Foot Over Bridges at Railway Stations of Western Railway",Shri Patel Umeshbhai Babubhai,Shri Patel Umeshbhai Babubhai,IND.,Independent,Dadra and Nagar Haveli and Daman and Diu,,,
Lok Sabha,344,8,12.08.2026,STARRED,ELECTRONICS AND INFORMATION TECHNOLOGY,Software Technology Parks Scheme,Shri B K Parthasarathi,Shri B K Parthasarathi,TDP,Telugu Desam Party,Andhra Pradesh,,,
Lok Sabha,343,8,12.08.2026,STARRED,RAILWAYS,National Train Enquiry System,Dr. Shrikant Eknath Shinde,Dr. Shrikant Eknath Shinde; Shri Naresh Ganpat Mhaske,SS,Shiv Sena,Maharashtra,,,
