scheme,category,meity_last_modified,months_since_update,outlay_rs_cr_mentioned,pq_mentions,meity_page
Production Linked Incentive Scheme – PLI 2.0 for IT Hardware,Scheme,2026-05-21,3.9,,9,https://cms-meity.digifootprint.gov.in/schemes_and_services/production-linked-incentive-scheme-pli-2-0-for-it-hardware/
Production Linked Incentive Scheme (PLI) for IT Hardware,Scheme,2026-05-21,3.9,,9,https://cms-meity.digifootprint.gov.in/schemes_and_services/production-linked-incentive-scheme-pli-for-it-hardware/
Electronic Manufacturing Clusters (EMC) Scheme,Scheme,2026-06-04,3.5,50.0,8,https://cms-meity.digifootprint.gov.in/schemes_and_services/electronic-manufacturing-clusters-emc-scheme/
Electronics Component Manufacturing Scheme,Scheme,2025-07-30,13.6,,7,https://cms-meity.digifootprint.gov.in/schemes_and_services/electronics-component-manufacturing-scheme/
Modified Electronics Manufacturing Clusters (EMC 2.0) Scheme,Scheme,2026-02-12,7.2,,4,https://cms-meity.digifootprint.gov.in/schemes_and_services/modified-electronics-manufacturing-clusters-emc-2-0-scheme/
Modified Special Incentive Package Scheme (M-SIPS),Scheme,2025-06-09,15.3,,4,https://cms-meity.digifootprint.gov.in/schemes_and_services/modified-special-incentive-package-scheme-m-sips/
Digital India Internship Scheme 2026,Scheme,2026-04-10,5.3,,4,https://cms-meity.digifootprint.gov.in/schemes_and_services/digital-india-internship-scheme-2026/
TECHNICAL INTERNSHIP PROGRAMME 2025,Scheme,2025-06-09,15.3,,4,https://cms-meity.digifootprint.gov.in/schemes_and_services/technical-internship-programme-2025/
CSC Scheme 2.0 – A Way Forward [ Part of e-Governance Division],Scheme,2025-06-09,15.3,,3,https://cms-meity.digifootprint.gov.in/schemes_and_services/csc-scheme-2-0-a-way-forward-part-of-e-governance-division/
BPO promotion Schemes,Scheme,2025-06-09,15.3,543.0,3,https://cms-meity.digifootprint.gov.in/schemes_and_services/india-bpo-promotion-schemes/
Scheme for Financial Assistance to select States/UTs for Skill Development in Electronics System Design and Manufacturing (ESDM) sector,Scheme,2025-06-09,15.3,113.77,3,https://cms-meity.digifootprint.gov.in/schemes_and_services/scheme-for-financial-assistance-to-select-states-uts-for-skill-development-in-electronics-system-design-and-manufacturing-esdm-sector/
GEN-NEXT Support for Innovative Startups (GENESIS),Scheme,2025-06-09,15.3,490.0,2,https://cms-meity.digifootprint.gov.in/schemes_and_services/gen-next-support-for-innovative-startups-genesis/
Visvesvaraya PhD Scheme,Scheme,2026-05-18,4.0,481.93,2,https://cms-meity.digifootprint.gov.in/schemes_and_services/visvesvaraya-phd-scheme/
Technology Incubation and Development of Entrepreneurs,Scheme,2025-06-09,15.3,,0,https://cms-meity.digifootprint.gov.in/schemes_and_services/technology-incubation-and-development-of-entrepreneurs/
Scheme for Promotion of Manufacturing of Electronic Components and Semiconductors (SPECS),Scheme,2025-06-09,15.3,,0,https://cms-meity.digifootprint.gov.in/schemes_and_services/scheme-for-promotion-of-manufacturing-of-electronic-components-and-semiconductors-specs/
Production Linked Incentive Scheme (PLI) for Large Scale Electronics Manufacturing,Scheme,2025-06-09,15.3,,0,https://cms-meity.digifootprint.gov.in/schemes_and_services/production-linked-incentive-scheme-pli-for-large-scale-electronics-manufacturing/
Visvesvaraya PhD Scheme for Electronics &amp; IT,Scheme,2025-06-13,15.2,481.93,0,https://cms-meity.digifootprint.gov.in/schemes_and_services/visvesvaraya-phd-scheme-for-electronics-it/
Electronic Hardware Schemes,Scheme,2025-06-09,15.3,,0,https://cms-meity.digifootprint.gov.in/schemes_and_services/electronic-hardware-schemes/
Scheme of financial assistance for setting up of Electronics and ICT Academies,Scheme,2025-06-09,15.3,147.48,0,https://cms-meity.digifootprint.gov.in/schemes_and_services/scheme-of-financial-assistance-for-setting-up-of-electronics-and-ict-academies/
Scheme for ‘Skill Development in ESDM for Digital India’,Scheme,2025-06-09,15.3,411.0,0,https://cms-meity.digifootprint.gov.in/schemes_and_services/scheme-for-skill-development-in-esdm-for-digital-india/
NeGD’s Non-Technical (Summer) Internship Programme,Scheme,2026-05-20,3.9,,0,https://cms-meity.digifootprint.gov.in/schemes_and_services/negds-non-technical-summer-internship-programme/
Guidelines for implementation of Scheme for reimbursement of Testing and Certification Charges for Start-ups and Telecom MSEs,Scheme,2025-06-09,15.3,,0,https://cms-meity.digifootprint.gov.in/schemes_and_services/guidelines-for-implementation-of-scheme-for-reimbursement-of-testing-and-certification-charges-for-start-ups-and-telecom-mses/
