ministry,scheme,last_modified,months_since_update,outlay_rs_cr_mentioned,pq_mentions,scheme_page
COMMERCE AND INDUSTRY,"Industrial Development Scheme (IDS),2017",2026-06-24,2.8,445.41,26,https://www.dpiit.gov.in/offerings/schemes-and-services/details/industrial-development-scheme-ids2017
COMMERCE AND INDUSTRY,"Uttar Poorva Transformative Industrialization Scheme (UNNATI), 2024",2026-06-12,3.2,,11,https://www.dpiit.gov.in/offerings/schemes-and-services/details/unnati-2024-uttar-poorva-transformative-industrialization-scheme
COMMERCE AND INDUSTRY,Bharat Audyogik Vikas Yojana (BHAVYA),2026-06-12,3.2,,5,https://www.dpiit.gov.in/offerings/schemes-and-services/details/bharat-audyogik-vikas-yojna-bhavya
COMMERCE AND INDUSTRY,National Industrial Corridor Development Programme (NICDP),2026-06-12,3.2,,5,https://www.dpiit.gov.in/offerings/schemes-and-services/details/industrial-corridors
COMMERCE AND INDUSTRY,Production Linked Incentive (PLI) Scheme  for White Goods,2026-06-19,3.0,6238.0,1,https://www.dpiit.gov.in/offerings/schemes-and-services/details/production-linked-incentive-scheme-pli-for-white-goods
COMMERCE AND INDUSTRY,"India International Convention & Expo Centre (lICC), Dwarka",2026-06-12,3.2,,0,https://www.dpiit.gov.in/offerings/schemes-and-services/details/india-international-convention-expo-centre-licc-dwarka
COMMERCE AND INDUSTRY,Scheme for Investment Promotion (SIP),2026-06-12,3.2,,0,https://www.dpiit.gov.in/offerings/schemes-and-services/details/scheme-for-investment-promotion-make-in-india
COMMERCE AND INDUSTRY,Scheme for Pedagogy and Research in IPRs for Holistic Education and Academia (SPRIHA),2026-06-12,3.2,,0,https://www.dpiit.gov.in/offerings/schemes-and-services/details/scheme-for-pedagogy-and-research-in-iprs-for-holistic-education-and-academia-spriha
COMMERCE AND INDUSTRY,"North East Industrial and Investment Promotion Policy (NEIIPP), 2007",2026-08-19,1.0,3635.45,0,https://www.dpiit.gov.in/offerings/schemes-and-services/details/north-east-industrial-and-investment-promotion-policy-neiipp-2007
COMMERCE AND INDUSTRY,New Central Sector Scheme for Industrial Development of UT of Jammu & Kashmir,2026-09-10,0.3,28400.0,0,https://www.dpiit.gov.in/offerings/schemes-and-services/details/central-sector-scheme-for-industrial-development-of-jammu-and-kashmir
COMMERCE AND INDUSTRY,"North East Industrial Development Scheme (NEIDS), 2017",2026-06-12,3.2,302.75,0,https://www.dpiit.gov.in/offerings/schemes-and-services/details/north-east-industrial-development-scheme-neids-2017
COMMERCE AND INDUSTRY,Scheme of Budgetary Support under GST Regime,2026-07-28,1.7,27413.0,0,https://www.dpiit.gov.in/offerings/schemes-and-services/details/budgetary-support-under-gst-regime
COMMERCE AND INDUSTRY,Industrial Licensing (IL),2026-06-12,3.2,,0,https://www.dpiit.gov.in/offerings/schemes-and-services/details/industrial-licensing-il
COMMUNICATION,Special Assistance to States for Capital Investment (SASCI),2026-09-18,-0.0,4000.0,49,https://www.dot.gov.in/offerings/schemes-and-services/details/special-assistance-to-states-for-capital-investment-sasci
COMMUNICATION,Sanchar Saathi initiative under Digital Intelligence Unit (DIU) project,2026-05-20,3.9,,38,https://www.dot.gov.in/offerings/schemes-and-services/details/sanchar-saathi-initiative-under-digital-intelligence-unit-diu-project
COMMUNICATION,Invest India,2025-10-28,10.7,,5,https://www.dot.gov.in/offerings/schemes-and-services/details/invest-india
COMMUNICATION,Telecom Technology Development Fund (TTDF),2026-09-18,-0.0,,4,https://www.dot.gov.in/offerings/schemes-and-services/details/telecom-technology-development-fund-ttdf
COMMUNICATION,100 5G Labs,2026-05-11,4.3,,1,https://www.dot.gov.in/offerings/schemes-and-services/details/100-5g-labs
COMMUNICATION,Production Linked Incentive (PLI) scheme,2026-05-08,4.4,,0,https://www.dot.gov.in/offerings/schemes-and-services/details/pli-scheme
COMMUNICATION,Technology Development & Investment Promotion (TDIP) Scheme,2026-07-31,1.6,203.0,0,https://www.dot.gov.in/offerings/schemes-and-services/details/technology-development-investment-promotion-tdip-scheme
COMMUNICATION,Public Procurement-Preference to Make in India,2026-09-16,0.0,,0,https://www.dot.gov.in/offerings/schemes-and-services/details/pp-preference-to-make-in-india
COMMUNICATION,Scheme for reimbursement of Testing and Certification Charges for Start-ups and Telecom MSEs,2026-05-12,4.2,,0,https://www.dot.gov.in/offerings/schemes-and-services/details/scheme-for-reimbursement-of-testing-and-certification-charges-for-start-ups-and-telecom-mses
ELECTRONICS AND INFORMATION TECHNOLOGY,Production Linked Incentive Scheme – PLI 2.0 for IT Hardware,2026-05-21,3.9,,9,https://cms-meity.digifootprint.gov.in/schemes_and_services/production-linked-incentive-scheme-pli-2-0-for-it-hardware/
ELECTRONICS AND INFORMATION TECHNOLOGY,Production Linked Incentive Scheme (PLI) for IT Hardware,2026-05-21,3.9,,9,https://cms-meity.digifootprint.gov.in/schemes_and_services/production-linked-incentive-scheme-pli-for-it-hardware/
ELECTRONICS AND INFORMATION TECHNOLOGY,Electronic Manufacturing Clusters (EMC) Scheme,2026-06-04,3.5,50.0,8,https://cms-meity.digifootprint.gov.in/schemes_and_services/electronic-manufacturing-clusters-emc-scheme/
ELECTRONICS AND INFORMATION TECHNOLOGY,Electronics Component Manufacturing Scheme,2025-07-30,13.6,,7,https://cms-meity.digifootprint.gov.in/schemes_and_services/electronics-component-manufacturing-scheme/
ELECTRONICS AND INFORMATION TECHNOLOGY,Modified Electronics Manufacturing Clusters (EMC 2.0) Scheme,2026-02-12,7.2,,4,https://cms-meity.digifootprint.gov.in/schemes_and_services/modified-electronics-manufacturing-clusters-emc-2-0-scheme/
ELECTRONICS AND INFORMATION TECHNOLOGY,Modified Special Incentive Package Scheme (M-SIPS),2025-06-09,15.3,,4,https://cms-meity.digifootprint.gov.in/schemes_and_services/modified-special-incentive-package-scheme-m-sips/
ELECTRONICS AND INFORMATION TECHNOLOGY,Digital India Internship Scheme 2026,2026-04-10,5.3,,4,https://cms-meity.digifootprint.gov.in/schemes_and_services/digital-india-internship-scheme-2026/
ELECTRONICS AND INFORMATION TECHNOLOGY,TECHNICAL INTERNSHIP PROGRAMME 2025,2025-06-09,15.3,,4,https://cms-meity.digifootprint.gov.in/schemes_and_services/technical-internship-programme-2025/
ELECTRONICS AND INFORMATION TECHNOLOGY,CSC Scheme 2.0 – A Way Forward [ Part of e-Governance Division],2025-06-09,15.3,,3,https://cms-meity.digifootprint.gov.in/schemes_and_services/csc-scheme-2-0-a-way-forward-part-of-e-governance-division/
ELECTRONICS AND INFORMATION TECHNOLOGY,Scheme for Financial Assistance to select States/UTs for Skill Development in Electronics System Design and Manufacturing (ESDM) sector,2025-06-09,15.3,113.77,3,https://cms-meity.digifootprint.gov.in/schemes_and_services/scheme-for-financial-assistance-to-select-states-uts-for-skill-development-in-electronics-system-design-and-manufacturing-esdm-sector/
ELECTRONICS AND INFORMATION TECHNOLOGY,GEN-NEXT Support for Innovative Startups (GENESIS),2025-06-09,15.3,490.0,2,https://cms-meity.digifootprint.gov.in/schemes_and_services/gen-next-support-for-innovative-startups-genesis/
ELECTRONICS AND INFORMATION TECHNOLOGY,Visvesvaraya PhD Scheme,2026-05-18,4.0,481.93,2,https://cms-meity.digifootprint.gov.in/schemes_and_services/visvesvaraya-phd-scheme/
ELECTRONICS AND INFORMATION TECHNOLOGY,Technology Incubation and Development of Entrepreneurs,2025-06-09,15.3,,0,https://cms-meity.digifootprint.gov.in/schemes_and_services/technology-incubation-and-development-of-entrepreneurs/
ELECTRONICS AND INFORMATION TECHNOLOGY,Scheme for Promotion of Manufacturing of Electronic Components and Semiconductors (SPECS),2025-06-09,15.3,,0,https://cms-meity.digifootprint.gov.in/schemes_and_services/scheme-for-promotion-of-manufacturing-of-electronic-components-and-semiconductors-specs/
ELECTRONICS AND INFORMATION TECHNOLOGY,Production Linked Incentive Scheme (PLI) for Large Scale Electronics Manufacturing,2025-06-09,15.3,,0,https://cms-meity.digifootprint.gov.in/schemes_and_services/production-linked-incentive-scheme-pli-for-large-scale-electronics-manufacturing/
ELECTRONICS AND INFORMATION TECHNOLOGY,Visvesvaraya PhD Scheme for Electronics &amp; IT,2025-06-13,15.2,481.93,0,https://cms-meity.digifootprint.gov.in/schemes_and_services/visvesvaraya-phd-scheme-for-electronics-it/
ELECTRONICS AND INFORMATION TECHNOLOGY,Electronic Hardware Schemes,2025-06-09,15.3,,0,https://cms-meity.digifootprint.gov.in/schemes_and_services/electronic-hardware-schemes/
ELECTRONICS AND INFORMATION TECHNOLOGY,BPO promotion Schemes,2025-06-09,15.3,543.0,0,https://cms-meity.digifootprint.gov.in/schemes_and_services/india-bpo-promotion-schemes/
ELECTRONICS AND INFORMATION TECHNOLOGY,Scheme of financial assistance for setting up of Electronics and ICT Academies,2025-06-09,15.3,147.48,0,https://cms-meity.digifootprint.gov.in/schemes_and_services/scheme-of-financial-assistance-for-setting-up-of-electronics-and-ict-academies/
ELECTRONICS AND INFORMATION TECHNOLOGY,Scheme for ‘Skill Development in ESDM for Digital India’,2025-06-09,15.3,411.0,0,https://cms-meity.digifootprint.gov.in/schemes_and_services/scheme-for-skill-development-in-esdm-for-digital-india/
ELECTRONICS AND INFORMATION TECHNOLOGY,NeGD’s Non-Technical (Summer) Internship Programme,2026-05-20,3.9,,0,https://cms-meity.digifootprint.gov.in/schemes_and_services/negds-non-technical-summer-internship-programme/
ELECTRONICS AND INFORMATION TECHNOLOGY,Guidelines for implementation of Scheme for reimbursement of Testing and Certification Charges for Start-ups and Telecom MSEs,2025-06-09,15.3,,0,https://cms-meity.digifootprint.gov.in/schemes_and_services/guidelines-for-implementation-of-scheme-for-reimbursement-of-testing-and-certification-charges-for-start-ups-and-telecom-mses/
