ministry,questions
HEALTH AND FAMILY WELFARE,3550
RAILWAYS,2900
EDUCATION,2802
AGRICULTURE AND FARMERS WELFARE,2754
FINANCE,2253
CIVIL AVIATION,2129
JAL SHAKTI,1997
HOUSING AND URBAN AFFAIRS,1823
"ENVIRONMENT, FOREST AND CLIMATE CHANGE",1809
LABOUR AND EMPLOYMENT,1570
RURAL DEVELOPMENT,1389
COMMERCE AND INDUSTRY,1356
"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",1332
ROAD TRANSPORT AND HIGHWAYS,1286
WOMEN AND CHILD DEVELOPMENT,1271
CHEMICALS AND FERTILIZERS,1235
AYUSH,1138
PETROLEUM AND NATURAL GAS,1138
"MICRO, SMALL AND MEDIUM ENTERPRISES",1131
TOURISM,1076
CULTURE,1069
HOME AFFAIRS,1051
SOCIAL JUSTICE AND EMPOWERMENT,1048
EXTERNAL AFFAIRS,1026
YOUTH AFFAIRS AND SPORTS,1024
"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",1021
NEW AND RENEWABLE ENERGY,995
ELECTRONICS AND INFORMATION TECHNOLOGY,971
SKILL DEVELOPMENT AND ENTREPRENEURSHIP,882
POWER,830
TRIBAL AFFAIRS,796
COMMUNICATIONS,795
ROAD TRANSPORT & HIGH WAYS,775
FOOD PROCESSING INDUSTRIES,770
"PORTS, SHIPPING AND WATERWAYS",769
CORPORATE AFFAIRS,737
COOPERATION,731
TEXTILES,699
COAL,661
PANCHAYATI RAJ,573
MINORITY AFFAIRS,535
LAW AND JUSTICE,485
INFORMATION AND BROADCASTING,465
ATOMIC ENERGY,437
SCIENCE AND TECHNOLOGY,430
MINES,429
LAW & JUSTICE,426
EARTH SCIENCES,425
HEAVY INDUSTRIES,406
STEEL,334
COMMUNICATION,325
STATISTICS AND PROGRAMME IMPLEMENTATION,314
SPACE,238
PLANNING,235
DEFENCE,186
DEVELOPMENT OF NORTH EASTERN REGION,176
"PERSONNEL,PUBLIC GRIEVANCES AND PENSIONS",172
"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",133
PARLIAMENTARY AFFAIRS,67
PRIME MINISTER,1
