activity,ec_proposals
5(f) Synthetic organic chemicals industry ,919
1(a) Mining of minerals,820
3(a) Metallurgical Industries (ferrous and non ferrous),767
5(g) Distilleries,260
1(c) River Valley/Irrigation projects,241
8(a) Building / Construction ,213
1(d) Thermal Power Plants,206
5(b) Pesticides industry and pesticide specific intermediates (excluding formulations),178
3(b) Cement plants ,144
"7(e) Ports, harbors, breakwaters, dredging",126
7(f) Road,114
8(b) Townships/ Area Development Projects / Rehabilitation Centres,106
"1(b) Off-shore and onshore oil and gas exploration,  development and production",102
"7(c ) Industrial estates/ parks/ complexes/ areas, export processing Zones (EPZs), Special Economic Zones ",80
5(a) Chemical fertilizers ,76
2(a) Coal washeries,44
7(a) Airports,43
5(e ) Petroleum products and petrochemical based processing such as production of carbon black and electrode grade graphite (processes other than cracking ,40
4(a) Petroleum refining industry,31
5(c) Petro-chemical complexes (industries based on processing of petroleum fractions ,28
"7(d ) Common hazardous waste treatment, storage and disposal facilities (TSDFs)",27
5(i) Pulp & Paper Industry,25
5(j) Sugar Industry,21
7(h) Common Effluent Treatment Plants (CETPs),20
5(ga) Grain based distilleries,17
7(da) Bio-Medical Waste Treatment Facilities,16
2(b) Mineral beneficiation,15
7(i) Common Municipal Solid Waste Management Facility (CMSWMF),13
6(a) Pipelines ,13
4(d) Chlor-alkali industry,11
5(d) Manmade fibers manufacturing,9
4(b)(ii) Coaltar processing units,8
4(c) Asbestos milling / asbestos-based products,7
5(h) Integrated paint industry,6
4(f) Skin/hide processing including the tanning industry,4
4(b) Coke oven plants,3
4(e) Soda ash Industry,2
2(c) Pellet Plant,2
Cement plants ,1
Distilleries,1
Mining of minerals,1
7(b) Ship breaking yards including ship breaking units,1
"7(c) Industrial estates/ parks/ complexes/ areas, export processing Zones (EPZs), Special Economic Zones ",1
