project_name,company,state,investment_cost_rs,status,start_date,company_mentioned_in_pq
"Expansion of existing integrated steel plant from 3.6 MTPA to 12.6 MTPA Crude steel at Raigarh, Chhattisgarh",,Chhattisgarh,774140000000.0,Proposal Accepted and Referred to EAC,2026-09-03,
"Proposed 4800 (6x800) MW Coal Based Ultra Super-Critical Thermal Power Project at Salka, Kathmunda, Narayanpur, Mudgaon and adjacent villages, Tehsil/ Block Premnagar and Udaypur, District Surguja and Surajpur, Chhattisgarh by Adani Power Limited.",Adani Power Limited,Chhattisgarh,560300030000.0,Under Examination,2026-09-17,False
"Expansion of Waterfront Development Plan for Mundra Port by APSEZ, Mundra, Gujarat",APSEZ,Gujarat,557140020000.0,Under Examination,2026-09-17,False
Development of Dholera Special Investment Region (DSIR) In Gujarat by M/s. Dholera Special Investment Regional Development Authority (DSIRDA),Dholera Special Investment Regional Development Authority (DSIRDA),Gujarat,399999992000.0,Forwarded to DD,2026-08-28,False
"Proposed 6.0 MTPA Alumina Refinery with 280 MW Co-gen Power Plant at villages - Alanda, Dengasil, Dinatodara, Dumuripadar, Karalima, Karapa, Kendugura, Kolamui, Krishtapatragura, Kusumasila, Sulapadarunder Kalyansinghpur Tahasil in Rayagada District, Odisha by M/s Vedanta Aluminium Metal Limited",Vedanta Aluminium Metal Limited,Odisha,350169989000.0,Standard ToR Granted,2026-09-02,False
"Setting up of 6 MTPA Greenfield Integrated Steel Plant at  District Dhenkanal, Odisha ",,Odisha,349999989000.0,ADS Raised,2026-09-03,
"Newzone India Pvt Limited proposed expansion of additional 1x800 MW Ultra super critical thermal power plant village Raksa, kolmi, Daikhal, Anuppur Madhya Pradesh",,Madhya Pradesh,337100014000.0,Under Examination,2026-09-10,
"Enhancing production capacity by adopting technological improvement and change in raw material mix for Hot Metal from 4.50 MTPA to 5.40 MTPA, Crude Steel from 4.20 MTPA to 5.04 MTPA, Coke from 2.17 MTPA to 2.60 MTPA, Sinter from 6.76 MTPA to 7.20 MTPA & Saleable Steel from 4.325 to 5.10 MTPA including Hot Strip Mill production from 3.00 MTPA to 3.20 MTPA and Limiting Plate Mills Production from 2.135 MTPA 1.90 MTPA from existing facilities of SAIL – Rourkela Steel Plant",,Odisha,288470401000.0,EDS Raised,2026-09-17,
Project for Wainganga Nalganga River Project (Link-II: Lower Wardha to Katepurna),,Maharashtra,271530000000.0,ToR Granted,2026-07-28,
"Expansion of 2x250 MW (Phase IV) & 1x660 MW (Phase V) -Proposed 2nd unit of 660 MW Ultra Super-critical Satpura Thermal Power Project (Phase-V, Unit no. 13) at Village Brahmanwada Ryt, Tehsil Ghoradongri, Sarni, District Betul, Madhya Pradesh",,Madhya Pradesh,256575193000.0,Proposal returned in present form,2026-08-18,
Construction of Vadhavan Bandar connecting Highway to Maharashtra Samruddhi Mahamarg from Tawa on NH-48 to Bharvir on Maharashtra Samruddhi Mahamarg freight corridor in the state of Maharashtra ,,Maharashtra,249386893000.0,ADS Raised,2026-08-15,
"5400 MW Pumped Storage Project at Taluka: Bhor & Mahad, District: Pune & Raigad, Maharashtra",,Maharashtra,233238299000.0,Under Examination,2026-09-17,
Proposed 2x800 MW Ultra Super Critical Coal Fired Thermal Power Project By M/s Torrent Power Limited at Deori & Dumarpali village in Raigarh District of Chhattisgarh,,Chhattisgarh,229151293000.0,ToR Granted,2026-07-31,
Sawalkot HE Project (1856 MW),,Jammu And Kashmir,219999994000.0,ToR Granted,2025-08-20,
Sawalkot HE Project (1856 MW),,Jammu And Kashmir,219999994000.0,EC Granted,2025-11-17,
Subansiri Upper HE Project,,Arunachal Pradesh,218149994000.0,ToR Granted,2024-09-07,
Subansiri Upper HE Project,,Arunachal Pradesh,218149994000.0,Proposal Accepted and Referred to EAC,2026-09-04,
Kamala Hydro Electric Project,,Arunachal Pradesh,218149994000.0,DELISTED_BY_SYSTEM,2026-09-04,
"Proposed Expansion by addition of 2x800 MW Coal Based Thermal Power Units to existing 2x250 MW Chandrapura Thermal Power Station (CTPS) by DVC-CIL Power Private Limited, a Joint Venture of Damodar Vally Corporation and Coal India Limited at Chandrapura, District Bokaro, Jharkhand.",DVC-CIL Power Private Limited,Jharkhand,217969099000.0,Proposal returned in present form,2026-08-18,False
"3 x 800 MW (Phase-I) Patratu Super Thermal Power Project at Patratu, District Ramgarh, Jharkhand.",,Jharkhand,203015700000.0,DELISTED_BY_SYSTEM,2026-08-03,
"Expansion of existing EC by enhancing Ammonia & Urea production capacity through revision of Phase-II capacities while retaining existing operational Phase-I plant & new installation of Technical Ammonium Nitrate plant with Nitric acid plant, establishment of Chemical Cluster along with Cogeneration Power Plant, Grain-based Distillery along with Bioethanol Downstream Products at Panagarh Industrial Park, Panagarh, Kanksa Block, District Purba Bardhaman, West Bengal ",,West Bengal,197770002000.0,Standard ToR Granted,2026-09-01,
"Transfer of Environmental Clearance (Change in Name) subsequently to NCLT Order from Mirzapur Thermal Energy (UP) Private Limited to Adani Power Limited for 1600 (2x800) MW coal based Ultra Super Critical Thermal Power Project at Village Dadri Khurd, Tehsil Mirzapur Sadar, District Mirzapur, Uttar Pradesh.",,Uttar Pradesh,183000007000.0,Under Examination,2026-09-17,
Project for Wainganga Nalganga River Project  (Link-III: Katepurna to Nalganga),,Maharashtra,147179995000.0,ToR Granted,2026-07-28,
"Expansion of existing 2x600 MW coal based thermal unit by installing new 1x800 MW Ultra Supercritical unit at Rajiv Gandhi Thermal Power Plant (RGTPP), Hisar, Haryana.",,Haryana,141872300000.0,Under Examination,2026-09-03,
"Expansion and Modernization of Existing Integrated Steel Plant by Enhancing the Capacity of Blast Furnace, Sinter Plant, Coke Oven Plant, Captive Power Plant and Addition of Blast Furnace (2300 Cum), Sinter Plant (220 Sqm), Coke Oven Plant (0.2 MTPA), Ground Granulated Blast Furnace Slag Plant (2.0 MTPA) and Oxygen Plant (Air Separation Unit 1500 TPD) by M/s Evonith Metallics Limited",Evonith Metallics Limited,Maharashtra,123674698000.0,EDS Raised,2026-09-10,False
