state,environment_pqs,ec_proposals,pq_per_ec_proposal
Gujarat,74,897,0.082
Maharashtra,180,699,0.258
Chhattisgarh,39,368,0.106
Rajasthan,131,285,0.46
Karnataka,65,277,0.235
Odisha,84,272,0.309
Madhya Pradesh,53,272,0.195
Andhra Pradesh,115,229,0.502
Haryana,29,227,0.128
West Bengal,138,203,0.68
Jharkhand,57,169,0.337
Uttar Pradesh,160,155,1.032
Tamil Nadu,147,142,1.035
Telangana,64,82,0.78
Punjab,64,79,0.81
Delhi,27,78,0.346
Bihar,86,54,1.593
Kerala,142,52,2.731
Assam,28,40,0.7
Uttarakhand,16,32,0.5
Himachal Pradesh,28,22,1.273
Arunachal Pradesh,0,21,0.0
Meghalaya,0,19,0.0
Jammu And Kashmir,0,19,0.0
Goa,12,12,1.0
Dadra and Nagar Haveli and Daman and Diu,13,10,1.3
Sikkim,3,9,0.333
Lakshadweep,3,9,0.333
Puducherry,6,9,0.667
Tripura,3,8,0.375
Andaman And Nicobar Islands,0,5,0.0
Chandigarh,5,4,1.25
Ladakh,2,1,2.0
Mizoram,0,1,0.0
Nagaland,1,1,1.0
Jammu and Kashmir,7,0,
Manipur,2,0,
Andaman and Nicobar Islands,0,0,
Unknown,6,0,
Nominated,19,0,
