party,AGRICULTURE AND FARMERS WELFARE,ATOMIC ENERGY,AYUSH,CHEMICALS AND FERTILIZERS,CIVIL AVIATION,COAL,COMMERCE AND INDUSTRY,COMMUNICATION,COMMUNICATIONS,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",COOPERATION,CORPORATE AFFAIRS,CULTURE,DEFENCE,DEVELOPMENT OF NORTH EASTERN REGION,EARTH SCIENCES,EDUCATION,ELECTRONICS AND INFORMATION TECHNOLOGY,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",EXTERNAL AFFAIRS,FINANCE,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",FOOD PROCESSING INDUSTRIES,HEALTH AND FAMILY WELFARE,HEAVY INDUSTRIES,HOME AFFAIRS,HOUSING AND URBAN AFFAIRS,INFORMATION AND BROADCASTING,JAL SHAKTI,LABOUR AND EMPLOYMENT,LAW & JUSTICE,LAW AND JUSTICE,"MICRO, SMALL AND MEDIUM ENTERPRISES",MINES,MINORITY AFFAIRS,NEW AND RENEWABLE ENERGY,PANCHAYATI RAJ,PARLIAMENTARY AFFAIRS,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS","PERSONNEL,PUBLIC GRIEVANCES AND PENSIONS",PETROLEUM AND NATURAL GAS,PLANNING,"PORTS, SHIPPING AND WATERWAYS",POWER,PRIME MINISTER,RAILWAYS,ROAD TRANSPORT & HIGH WAYS,ROAD TRANSPORT AND HIGHWAYS,RURAL DEVELOPMENT,SCIENCE AND TECHNOLOGY,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,SOCIAL JUSTICE AND EMPOWERMENT,SPACE,STATISTICS AND PROGRAMME IMPLEMENTATION,STEEL,TEXTILES,TOURISM,TRIBAL AFFAIRS,WOMEN AND CHILD DEVELOPMENT,YOUTH AFFAIRS AND SPORTS
INC,544,66,151,220,412,128,286,78,110,248,67,128,171,44,27,81,548,182,418,216,466,180,126,770,59,210,297,73,402,311,60,110,174,83,100,150,101,2,25,37,209,32,127,132,0,616,115,347,310,56,138,235,33,49,49,116,164,165,251,179
BJP,952,202,558,464,787,306,470,116,337,528,459,328,470,62,102,183,883,331,603,273,703,371,361,1209,201,465,722,201,764,524,173,157,440,212,156,469,270,49,49,70,440,97,309,364,0,982,339,367,500,231,389,386,111,137,171,303,519,320,452,484
NCP(SP),57,3,27,21,22,8,18,5,7,24,7,10,10,0,0,7,36,16,18,2,19,9,10,38,5,3,17,4,22,21,4,2,20,2,8,8,8,1,3,0,4,1,6,9,0,38,7,26,15,0,17,8,1,2,4,7,12,11,21,13
TDP,119,16,25,51,25,8,59,13,23,35,12,20,31,6,1,16,112,62,60,16,71,80,36,133,13,24,70,13,70,42,10,23,87,17,13,62,13,1,0,0,32,20,73,26,0,76,5,62,35,30,60,44,16,3,9,36,46,41,46,30
DMK,136,21,50,65,146,26,108,29,50,76,35,33,88,12,2,24,164,77,82,85,146,63,52,211,15,48,118,31,94,104,26,43,92,8,34,49,27,0,4,4,74,5,59,47,0,193,44,68,89,26,52,70,16,18,18,52,51,33,71,73
IUML,30,2,10,6,27,3,15,4,9,16,1,4,15,0,0,5,42,14,19,25,30,21,8,46,0,11,20,12,11,16,8,6,19,1,21,10,2,1,1,2,17,0,5,3,0,38,12,13,9,0,15,13,0,3,1,7,17,13,11,12
IND.,28,7,14,22,45,7,18,8,6,22,16,11,15,1,5,4,38,37,54,21,33,19,4,54,9,24,21,6,37,18,5,8,22,8,5,23,12,2,4,2,13,4,13,23,0,39,16,22,21,6,17,10,9,9,3,6,17,13,18,17
SS,76,15,24,29,46,2,21,10,13,22,7,10,20,4,0,13,53,18,35,14,36,14,11,70,9,17,47,8,36,39,1,13,20,3,2,22,13,0,5,0,8,6,19,16,0,76,4,46,30,5,21,18,4,4,2,14,14,12,22,13
SKM,2,0,0,1,2,0,1,1,0,0,0,0,2,0,1,2,3,2,3,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,3,1,1,1,0,0,0,0,1,3,2,2,2
SP,164,10,24,64,46,20,34,5,22,52,20,30,23,13,1,6,167,27,46,38,119,29,38,161,13,21,59,10,116,68,14,28,42,10,41,34,29,1,10,15,63,19,10,41,0,143,3,67,65,12,29,33,1,13,12,21,25,16,58,30
