party,lok_sabha_questions,rajya_sabha_questions,total_questions
BJP,11755,11126,22881
INC,7921,3263,11184
DMK,2299,1238,3537
AITC,1503,1041,2544
SP,1959,372,2331
TDP,1830,348,2178
YSRCP,494,777,1271
SS,1007,125,1132
CPI(M),455,647,1102
BJD,0,1019,1019
JD(U),851,167,1018
IND.,448,523,971
AAP,210,580,790
NCP(SP),525,179,704
AIADMK,0,697,697
SHS(UBT),317,369,686
IUML,391,291,682
RJD,154,383,537
CPI,133,279,412
BRS,0,296,296
NOM.,0,285,285
LJSP(RV),276,0,276
JSP,222,0,222
VCK,215,0,215
NCP,74,131,205
CPI(ML)(L),200,0,200
JMM,120,72,192
MDMK,100,50,150
RLP,145,0,145
Unknown,142,0,142
BAP,138,0,138
KC(M),0,135,135
UPPL,70,49,119
RLD,117,0,117
AIMIM,114,0,114
RSP,108,0,108
J&KNC,28,61,89
SAD,87,0,87
ASP (KR),85,0,85
AJSU,63,0,63
AGP,21,40,61
KEC,53,0,53
SKM,44,0,44
RLM,0,35,35
PMK,0,33,33
JD(S),30,0,30
DMDK,0,26,26
ZPM,16,0,16
MNM,0,12,12
MNF,0,8,8
TMC(M),0,4,4
