party,STARRED,UNSTARRED
INC,848,10336
BJP,2003,20878
NCP(SP),56,648
TDP,165,2013
DMK,281,3256
IUML,38,644
IND.,65,906
SS,140,992
SKM,4,40
SP,196,2135
AITC,171,2373
CPI(M),108,994
AGP,11,50
JD(U),83,935
LJSP(RV),34,242
VCK,23,192
JSP,14,208
RLP,12,133
KEC,2,51
MDMK,11,139
AIMIM,8,106
AJSU,4,59
ASP (KR),4,81
AAP,55,735
UPPL,11,108
SHS(UBT),62,624
YSRCP,98,1173
JD(S),1,29
BAP,13,125
RJD,47,490
CPI,31,381
J&KNC,7,82
JMM,26,166
RLD,6,111
RSP,10,98
CPI(ML)(L),10,190
SAD,4,83
ZPM,0,16
NCP,19,186
Unknown,8,134
BJD,100,919
DMDK,2,24
AIADMK,49,648
NOM.,8,277
KC(M),13,122
MNM,0,12
PMK,0,33
RLM,3,32
BRS,20,276
MNF,1,7
TMC(M),0,4
