ministry,minister_in_charge,minister_designation,pq_questions,pib_releases_since_2024_06,pq_per_pib_release
EXTERNAL AFFAIRS,Dr. Subrahmanyam Jaishankar,Minister,1026,2,513.0
CIVIL AVIATION,Shri Kinjarapu Rammohan Naidu,Minister,2129,188,11.324
HOUSING AND URBAN AFFAIRS,Shri Manohar Lal,Minister,1823,303,6.017
EDUCATION,Shri Pralhad Joshi,Minister,2802,506,5.538
RAILWAYS,Shri Ashwini Vaishnaw,Minister,2900,570,5.088
PETROLEUM AND NATURAL GAS,Shri Hardeep Singh Puri,Minister,1138,257,4.428
HEALTH AND FAMILY WELFARE,Shri Jagat Prakash Nadda,Minister,3550,809,4.388
ROAD TRANSPORT AND HIGHWAYS,Shri Nitin Jairam Gadkari,Minister,2061,471,4.376
"MICRO, SMALL AND MEDIUM ENTERPRISES",Shri Jitan Ram Manjhi,Minister,1131,270,4.189
CORPORATE AFFAIRS,Smt. Nirmala Sitharaman,Minister,737,176,4.188
NEW AND RENEWABLE ENERGY,Shri Pralhad Joshi,Minister,995,261,3.812
FOOD PROCESSING INDUSTRIES,Shri Chirag Paswan,Minister,770,204,3.775
JAL SHAKTI,Shri C R Patil,Minister,1997,585,3.414
"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Shri Pralhad Joshi,Minister,1332,393,3.389
LABOUR AND EMPLOYMENT,Dr. Mansukh Mandaviya,Minister,1570,505,3.109
CHEMICALS AND FERTILIZERS,Shri Jagat Prakash Nadda,Minister,1235,424,2.913
RURAL DEVELOPMENT,Shri Shivraj Singh Chouhan,Minister,1389,483,2.876
TOURISM,Shri Gajendra Singh Shekhawat,Minister,1076,400,2.69
POWER,Shri Manohar Lal,Minister,830,315,2.635
WOMEN AND CHILD DEVELOPMENT,Smt. Annpurna Devi,Minister,1271,485,2.621
AGRICULTURE AND FARMERS WELFARE,Shri Shivraj Singh Chouhan,Minister,2754,1052,2.618
"ENVIRONMENT, FOREST AND CLIMATE CHANGE",Shri Bhupender Yadav,Minister,1809,699,2.588
FINANCE,Smt. Nirmala Sitharaman,Minister,2253,1033,2.181
ATOMIC ENERGY,Dr. Jitendra Singh,Minister of State,437,203,2.153
LAW AND JUSTICE,Shri Arjun Ram Meghwal,Minister of State (Independent Charge),911,426,2.138
MINORITY AFFAIRS,Shri Kiren Rijiju,Minister,535,252,2.123
AYUSH,Shri Jadhav Prataprao Ganpatrao,Minister of State (Independent Charge),1138,563,2.021
SKILL DEVELOPMENT AND ENTREPRENEURSHIP,Shri Jayant Chaudhary,Minister of State (Independent Charge),882,445,1.982
PANCHAYATI RAJ,Shri Rajiv Ranjan Singh alias Lalan Singh,Minister,573,298,1.923
MINES,Shri G. Kishan Reddy,Minister,429,235,1.826
SOCIAL JUSTICE AND EMPOWERMENT,Dr. Virendra Kumar,Minister,1048,619,1.693
YOUTH AFFAIRS AND SPORTS,Dr. Mansukh Mandaviya,Minister,1024,612,1.673
COOPERATION,Shri Amit Shah,Minister,731,444,1.646
"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",Shri Rajiv Ranjan Singh alias Lalan Singh,Minister,1021,654,1.561
TRIBAL AFFAIRS,Shri Jual Oram,Minister,796,524,1.519
TEXTILES,Shri Giriraj Singh,Minister,699,470,1.487
HEAVY INDUSTRIES,Shri H. D. Kumaraswamy,Minister,406,273,1.487
SPACE,Dr. Jitendra Singh,Minister of State,238,164,1.451
ELECTRONICS AND INFORMATION TECHNOLOGY,,,971,672,1.445
COAL,Shri G. Kishan Reddy,Minister,661,464,1.425
CULTURE,Shri Gajendra Singh Shekhawat,Minister,1069,769,1.39
"PORTS, SHIPPING AND WATERWAYS",Shri Sarbananda Sonowal,Minister,769,577,1.333
COMMERCE AND INDUSTRY,Shri Piyush Goyal,Minister,1356,1178,1.151
EARTH SCIENCES,Dr. Jitendra Singh,Minister,425,377,1.127
DEVELOPMENT OF NORTH EASTERN REGION,,,176,159,1.107
COMMUNICATIONS,Shri Jyotiraditya M. Scindia,Minister,1120,1040,1.077
STEEL,Shri H. D. Kumaraswamy,Minister,334,349,0.957
HOME AFFAIRS,Shri Amit Shah,Minister,1051,1147,0.916
STATISTICS AND PROGRAMME IMPLEMENTATION,Shri Rao Inderjit Singh,Minister of State (Independent Charge),314,480,0.654
PARLIAMENTARY AFFAIRS,Shri Kiren Rijiju,Minister,67,139,0.482
INFORMATION AND BROADCASTING,Shri Ashwini Vaishnaw,Minister,465,974,0.477
"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Dr. Jitendra Singh,Minister of State,305,808,0.377
SCIENCE AND TECHNOLOGY,Dr. Jitendra Singh,Minister of State (Independent Charge),430,1418,0.303
DEFENCE,Shri Raj Nath Singh,Minister,186,2234,0.083
PLANNING,,,235,0,
PRIME MINISTER,,,1,0,
