term,pq_mentions,pib_release_mentions
Jal Jeevan Mission,376,68
PMAY-U,315,14
Pradhan Mantri Awas Yojana,303,19
PMAY-G,249,32
PM-KISAN,206,37
Pradhan Mantri Jan Arogya Yojana,191,8
Pradhan Mantri Kaushal Vikas Yojana,188,9
Pradhan Mantri Fasal Bima Yojana,182,13
National Mission,175,56
Smart Cities Mission,164,8
PM-KUSUM,155,7
Pradhan Mantri Gram Sadak Yojana,152,13
Pradhan Mantri Matsya Sampada Yojana,147,11
Pradhan Mantri Ujjwala Yojana,124,4
PMGKAY,121,5
National AYUSH Mission,111,13
Pradhan Mantri Kisan Sampada Yojana,110,5
Swachh Bharat Mission,107,45
National Health Mission,92,7
Samagra Shiksha Abhiyan,81,0
Pradhan Mantri Krishi Sinchayee Yojana,78,6
Pradhan Mantri Mudra Yojana,76,6
PLI Scheme,74,64
PM-ABHIM,70,7
PM-SYM,70,1
Muft Bijli Yojana,69,17
National Green Hydrogen Mission,68,15
PM-SGMBY,65,0
Atal Bhujal Yojana,63,12
PM-JANMAN,62,28
PM-SHRI,60,0
Pradhan Mantri Kisan Samman Nidhi,55,2
PM-DevINE,54,7
Digital Agriculture Mission,52,8
Pradhan Mantri Matru Vandana Yojana,50,4
PMSGMBY,48,1
Pradhan Mantri Jan Dhan Yojana,47,4
Rashtriya Gokul Mission,46,14
Pradhan Mantri Jan Vikas Karyakram,44,3
Rashtriya Gram Swaraj Abhiyan,44,9
Smart City Mission,44,1
PM-AJAY,41,17
Ayushman Bharat Digital Mission,41,9
Pradhan Mantri Awaas Yojana,41,9
PM-DAKSH,40,9
IndiaAI Mission,40,17
PM-PRANAM,38,6
Pradhan Mantri Garib Kalyan Anna Yojana,37,3
Mantri Garib Kalyan Anna Yojana,37,3
Skill India Mission,36,11
Pradhan Mantri Awas Yojana-Urban,36,3
PM Vishwakarma Yojana,35,2
PM-SETU,34,21
PMGSY-IV,34,8
National Livestock Mission,33,5
Jal Shakti Abhiyan,33,4
PMAY-Urban,33,3
PMDDKY,30,1
PM-JAY,28,26
Atal Mission,27,0
PM-SVANidhi,26,0
India Semiconductor Mission,26,8
PM-USHA,25,2
Cruise Bharat Mission,25,3
Pradhan Mantri Formalisation,25,1
Deep Ocean Mission,24,12
Pradhan Mantri Swasthya Suraksha Yojana,24,0
PMGDISHA,24,2
Pradhan Mantri Gramin Sadak Yojana,24,0
PM-POSHAN,23,1
PM-AASHA,23,7
PMGSY-III,22,3
National Critical Mineral Mission,21,8
PMJJBY,21,3
National Broadband Mission,21,2
PM-VIKAS,21,2
Export Promotion Mission,21,9
National Quantum Mission,20,17
Green India Mission,20,2
Nagar Van Yojana,20,0
