scheme,pq_ministry,minister_in_charge,ministry_total_pq,scheme_pq_mentions,outlay_rs_cr,disbursed_rs_cr,disbursed_pct,grade,grade_evidence
PLI Pharmaceuticals (formulations),CHEMICALS AND FERTILIZERS,Shri Jagat Prakash Nadda,1235,7,15000,5433,36.22,A,Combined pharma-PLI sales Rs 3.19 lakh cr incl. Rs 2.04 lakh cr exports since inception (PRID 2204595); 191 KSMs/DIs/APIs produced in India for the first time; actual investment 237% of commitment. The largest genuine disbursal-to-outlay ratio of any big scheme.
Electronics (LSEM + IT Hardware),ELECTRONICS AND INFORMATION TECHNOLOGY,,971,9,11324,15554,137.35,A-,"The program's flagship by every outcome metric (PRID 2247771, 1 Apr 2026): investment Rs 17,519cr = 250% of target; production Rs 11.02 lakh cr = 136%; exports Rs 6.21 lakh cr = 127%; smartphones India's #1 export item in CY2025 (Rs 2,62,452cr). Docked from A: MeitY's own Parliament submission shows only 2 of 5 domestic-category mobile applicants performing, and 92% of the jobs target."
PLI Bulk Drugs (KSMs/APIs),CHEMICALS AND FERTILIZERS,Shri Jagat Prakash Nadda,1235,34,6940,54.81,0.79,B,"GRADE REVISED A- -> B on new Parliament-era data: the disbursal number finally surfaced and it is 0.8% of outlay -- outcomes are real (Penicillin-G back after ~30 years, imports avoided Rs 3,591cr, 27 plants commissioned) but by this card's own criteria a scheme paying 0.8% cannot sit in the A family. The outcome/payout asymmetry now mirrors Steel's."
PLI Medical Devices,CHEMICALS AND FERTILIZERS,Shri Jagat Prakash Nadda,1235,5,3420,157.15,4.6,B,"GRADE REVISED B+ -> B: the gap filled -- 4.6% of outlay disbursed, thin like White Goods. Delivery remains the stronger half: 28 applicants, eligible sales Rs 13,624.52cr incl. Rs 6,425.48cr exports till Dec 2025; 44 products incl. linear accelerators/MRI/CT first-time made in India."
PLI Food Processing,FOOD PROCESSING INDUSTRIES,Shri Chirag Paswan,770,29,10900,1084,9.94,B,"171 approved applications, >Rs 9,200cr invested (PRID 2230621). One of the few schemes actually paying out at scale -- but PIB names not a single beneficiary company (the Britannia/ITC/Nestle names live only on MoFPI's own PDF), an odd opacity for a consumer-facing sector."
PLI Telecom & Networking,COMMUNICATIONS,Shri Jyotiraditya M. Scindia,1120,11,12195,1175,9.64,B,"Gap filled: ~9.6% of outlay paid through FY25 and accelerating (FY26 RE alone Rs 1,944cr). Sales >6x FY20; exports Rs 21,033cr; 42 named beneficiaries; BSNL indigenous 4G stack deployed. Grade B holds with payout evidence now attached."
PLI White Goods (ACs & LEDs),COMMERCE AND INDUSTRY,Shri Piyush Goyal,1356,2,6238,281.4,4.51,B-,"Domestic manufacturing 'has commenced' for compressors, motors, copper tubes and LED drivers (PRID 2230621) with 30+ investors named verbatim (Daikin, Voltas, Hindalco, Amber, LG, Blue Star, Dixon, Signify...). 4.5% of outlay disbursed, and DPIIT still publishes no per-company production status."
PLI Solar PV Modules,NEW AND RENEWABLE ENERGY,Shri Pralhad Joshi,995,20,24000,0,0.0,B-,"GRADE REVISED C+ -> B-: the same Parliament reply reveals real delivery -- ~30 GW module + ~10.5 GW cell + ~2 GW ingot-wafer capacity COMMISSIONED against LoAs for 48,337 MW. A designed-zero payout with commissioned capacity is the opposite of ACC's zero (execution failure); the two zeros must not be read alike."
PLI Drones,CIVIL AVIATION,Shri Kinjarapu Rammohan Naidu,2129,9,120,30,25.0,C+,"Sector turnover up 7x; 23 provisional beneficiaries (Asteria, Garuda, IdeaForge...). A tiny scheme that broadly did what a tiny scheme could."
PLI Automobile & Auto Components,HEAVY INDUSTRIES,Shri H. D. Kumaraswamy,406,28,25938,2377.56,9.17,D+,"~9% of outlay disbursed 4+ years in; incremental sales Rs 13,126cr by 72 companies in FY26-to-Dec -- far off the Rs 2.31 lakh cr trajectory. 8 OEMs DVA-certified for 94 variants (names not published). Tata Motors and Mahindra credited by PIB with 'massive investments in EV production capacity' (PRID 2115609)."
PLI Specialty Steel,STEEL,Shri H. D. Kumaraswamy,334,14,6322,48,0.76,D,"Rs 48cr disbursed = 0.8% of outlay -- and PIB discloses 14 of 58 Round-1 projects WITHDREW, a beneficiary-attrition figure the Ministry's own site never states. Rs 20,000cr invested of Rs 27,106cr committed and 9,000 jobs are real, but the incentive mechanism itself is barely functioning."
PLI Textiles (MMF/technical),TEXTILES,Shri Giriraj Singh,699,17,10683,54.5,0.51,D,0.5% of outlay disbursed 4 years in; only 26 of 74 Round-1/2 applicants had commenced production at last ministry count; zero beneficiary names in any PIB release.
PLI ACC Battery Storage,HEAVY INDUSTRIES,Shri H. D. Kumaraswamy,406,11,18100,0,0.0,F,"Zero incentive disbursed; Ola's 1 GWh (of 40 allocated) still in 'pilot production' since March 2024, 'working toward stabilizing operations for full-scale commercial production' per PIB's own words; one original awardee (Hyundai Global Motors, 20 GWh) exited without the word 'withdrew' ever appearing in a government document."
