state,AAP,AGP,AIADMK,AIMIM,AITC,AJSU,ASP (KR),BAP,BJD,BJP,BRS,CPI,CPI(M),CPI(ML)(L),DMDK,DMK,INC,IND.,IUML,J&KNC,JD(S),JD(U),JMM,JSP,KC(M),KEC,LJSP(RV),MDMK,MNF,MNM,NCP,NCP(SP),NOM.,PMK,RJD,RLD,RLM,RLP,RSP,SAD,SHS(UBT),SKM,SP,SS,TDP,TMC(M),UPPL,Unknown,VCK,YSRCP,ZPM
Karnataka,0,0,0,0,0,0,0,0,0,1741,0,0,0,0,0,0,922,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,0,0,0,0,2544,0,0,0,0,980,0,0,7,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Telangana,0,0,0,114,0,0,0,0,0,506,296,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,0,0,0,0,0,0,0,0,0,1470,0,0,0,0,0,0,1393,113,0,0,0,0,0,0,0,0,0,0,0,0,205,704,0,0,0,0,0,0,0,0,686,0,0,1132,0,0,0,0,0,0,0
Andhra Pradesh,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2178,0,0,0,0,1271,0
Rajasthan,0,0,0,0,0,0,0,138,0,1229,0,0,142,0,0,0,1570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,276,0,0,0,0,0,0,0,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,0,0,697,0,0,0,0,0,0,0,0,133,192,0,26,3537,854,0,178,0,0,0,0,0,0,0,0,150,0,12,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,4,0,0,215,0,0
Uttar Pradesh,0,0,0,0,0,0,85,0,0,3525,0,0,0,0,0,0,417,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,2331,0,0,0,0,0,0,0,0
Kerala,0,0,0,0,0,0,0,0,0,0,0,279,761,0,0,0,1882,0,504,0,0,0,0,0,135,53,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,0,0,0,0,0,0,0,0,0,823,0,0,0,200,0,0,410,113,0,0,0,1018,0,0,0,0,276,0,0,0,0,0,0,0,537,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
Assam,0,61,0,0,0,0,0,0,0,587,0,0,0,0,0,0,231,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0
Odisha,0,0,0,0,0,0,0,0,1019,1557,0,0,0,0,0,0,122,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,0,0,0,0,0,0,0,0,0,1716,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,0,0,0,0,0,0,0,0,0,535,0,0,0,0,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,0,0,0,0,0,63,0,0,0,1028,0,0,0,0,0,0,45,212,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,0,0,0,0,0,0,0,0,0,836,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,514,0,0,0,0,0,0,0,0,921,0,0,0,0,0,0,477,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0
Gujarat,0,0,0,0,0,0,0,0,0,2013,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
