state,questions
Uttar Pradesh,6514
Tamil Nadu,6031
Maharashtra,5703
Andhra Pradesh,4072
Kerala,3722
West Bengal,3549
Bihar,3412
Rajasthan,3224
Odisha,2717
Karnataka,2693
Gujarat,2248
Punjab,2000
Madhya Pradesh,1991
Telangana,1917
Jharkhand,1540
Haryana,1177
Assam,1062
Chhattisgarh,1054
Himachal Pradesh,842
Delhi,757
Nominated,606
Uttarakhand,501
Dadra and Nagar Haveli and Daman and Diu,337
Jammu and Kashmir,293
Goa,271
Puducherry,218
Tripura,173
Unknown,142
Chandigarh,126
Lakshadweep,99
Sikkim,98
Manipur,83
Ladakh,76
Arunachal Pradesh,38
Nagaland,29
Andaman and Nicobar Islands,28
Mizoram,24
Meghalaya,14
