party,term,count
ALL,tamil nadu,951
ALL,andhra pradesh,753
ALL,uttar pradesh,527
ALL,pradhan mantri,405
ALL,west bengal,348
ALL,skill development,296
ALL,renewable energy,237
ALL,food processing,230
ALL,financial assistance,228
ALL,himachal pradesh,225
ALL,rural areas,222
ALL,railway line,181
ALL,railway station,174
ALL,madhya pradesh,169
ALL,jal jeevan,166
ALL,jeevan mission,161
ALL,vande bharat,150
ALL,north eastern,149
ALL,allocation funds,147
ALL,railway stations,133
ALL,cooperative societies,133
ALL,higher education,133
ALL,drinking water,129
ALL,climate change,128
ALL,railway projects,122
ALL,samagra shiksha,121
ALL,infrastructure development,119
ALL,social security,106
ALL,employment generation,105
ALL,smart cities,105
INC,tamil nadu,80
INC,pradhan mantri,50
INC,jal jeevan,49
INC,jeevan mission,47
INC,skill development,45
INC,drinking water,45
INC,financial assistance,42
INC,renewable energy,41
INC,review,40
INC,railway station,39
INC,railway line,39
INC,rural areas,36
BJP,west bengal,236
BJP,himachal pradesh,222
BJP,uttar pradesh,215
BJP,pradhan mantri,201
BJP,madhya pradesh,136
BJP,skill development,132
BJP,food processing,107
BJP,renewable energy,101
BJP,rural areas,95
BJP,financial assistance,92
BJP,cooperative societies,80
BJP,railway line,72
NCP(SP),implementation,19
NCP(SP),promotion,17
NCP(SP),digital,14
NCP(SP),impact,13
NCP(SP),mission,12
NCP(SP),funds,12
NCP(SP),sector,12
NCP(SP),construction,12
NCP(SP),bhiwandi,11
NCP(SP),training,11
NCP(SP),projects maharashtra,9
NCP(SP),quality,9
TDP,andhra pradesh,477
TDP,projects andhra,34
TDP,welfare,24
TDP,establishment,24
TDP,regulation,23
TDP,pradhan mantri,21
TDP,upgradation,21
TDP,production,21
TDP,beneficiaries,19
TDP,msmes,19
TDP,progress,19
TDP,country,17
DMK,tamil nadu,586
DMK,projects tamil,52
DMK,policy,26
DMK,pradhan mantri,24
DMK,increase,24
DMK,establishment,23
DMK,mgnregs,21
DMK,skill development,20
DMK,metro rail,20
DMK,infrastructure tamil,20
DMK,progress,20
DMK,upgradation,20
IUML,tamil nadu,54
IUML,development,21
IUML,implementation,20
IUML,safety,13
IUML,promotion,12
IUML,mission,12
IUML,country,11
IUML,cases,11
IUML,funds,11
IUML,indian,11
IUML,digital,10
IUML,support,10
IND.,ladakh,39
IND.,daman diu,33
IND.,bihar,20
IND.,impact,19
IND.,implementation,17
IND.,assam,17
IND.,financial,14
IND.,nagar haveli,13
IND.,women,13
IND.,dadra nagar,12
IND.,digital,12
IND.,kargil,12
SS,implementation,37
SS,sector,28
SS,mumbai,25
SS,promotion,21
SS,farmers,20
SS,health,19
SS,system,18
SS,digital,17
SS,education,15
SS,policy,15
SS,shirdi,14
SS,impact,13
SKM,region,6
SKM,sikkim,6
SKM,organic,4
SKM,climate change,3
SKM,employment,3
SKM,north,3
SKM,impact,3
SKM,development,3
SKM,areas,3
SKM,promotion,3
SKM,study,3
SKM,implementation,2
SP,uttar pradesh,261
SP,through,21
SP,trains,18
SP,programme,17
SP,expansion,16
SP,special,16
SP,irregularities,16
SP,lack,15
SP,strengthening,15
SP,use,15
SP,students,15
SP,country,15
AITC,west bengal,103
AITC,vacancies ministry,28
AITC,implementation,26
AITC,system,24
AITC,expenditure,21
AITC,data,21
AITC,non,21
AITC,welfare,19
AITC,digital,19
AITC,agricultural,19
AITC,companies,18
AITC,coal,17
CPI(M),country,27
CPI(M),impact,25
CPI(M),implementation,20
CPI(M),revenue,19
CPI(M),rajasthan,17
CPI(M),sikar,16
CPI(M),states,16
CPI(M),mgnregs,15
CPI(M),tamil nadu,12
CPI(M),safety,12
CPI(M),construction,12
CPI(M),employees,12
AGP,assam,17
AGP,north eastern,11
AGP,eastern region,9
AGP,development,7
AGP,ner,6
AGP,states,5
AGP,new,4
AGP,tea,4
AGP,infrastructure,4
AGP,railway projects,3
AGP,guwahati,3
AGP,production,3
JD(U),farmers,23
JD(U),construction,21
JD(U),mission,17
JD(U),promotion,17
JD(U),sector,17
JD(U),production,16
JD(U),implementation,14
JD(U),setting,14
JD(U),programme,14
JD(U),impact,13
JD(U),technology,13
JD(U),increase,12
LJSP(RV),bihar,23
LJSP(RV),jamui,10
LJSP(RV),programme,7
LJSP(RV),development,7
LJSP(RV),projects,6
